group_size, ncues, path_length, decision_time
6, 2, 568.645, 1265
6, 2, 573.704, 1284
6, 2, 568.802, 1269
6, 2, 561.657, 1253
6, 2, 558.623, 1243
6, 2, 567.207, 1270
6, 2, 621.329, 1430
6, 2, 572.355, 1275
6, 2, 562.159, 1254
6, 2, 564.802, 1263
6, 2, 559.586, 1255
6, 2, 566.514, 1271
6, 2, 561.12, 1249
6, 2, 569.862, 1274
6, 2, 579.402, 1310
6, 2, 575.959, 1290
6, 2, 559.068, 1244
6, 2, 569.006, 1270
6, 2, 568.024, 1279
6, 2, 578.691, 1299
6, 2, 570.661, 1274
6, 2, 576.316, 1292
6, 2, 559.383, 1247
6, 2, 565.804, 1269
6, 2, 629.742, 1461
6, 2, 571.102, 1279
6, 2, 564.693, 1260
6, 2, 558.532, 1244
6, 2, 584.34, 1323
6, 2, 564.513, 1262
6, 2, 558.812, 1249
6, 2, 581.099, 1316
6, 2, 574.796, 1284
6, 2, 574.6, 1287
6, 2, 561.947, 1264
6, 2, 565.908, 1261
6, 2, 564.053, 1260
6, 2, 551.681, 1241
6, 2, 555.243, 1236
6, 2, 562.896, 1256
6, 2, 570.487, 1270
6, 2, 562.219, 1251
6, 2, 560.293, 1253
6, 2, 554.889, 1239
6, 2, 561.984, 1245
6, 2, 571.719, 1282
6, 2, 563.765, 1256
6, 2, 567.989, 1267
6, 2, 609.672, 1399
6, 2, 575.853, 1297
6, 2, 563.144, 1253
6, 2, 558.974, 1250
6, 2, 579.491, 1300
6, 2, 552.957, 1232
6, 2, 558.633, 1243
6, 2, 562.437, 1252
6, 2, 563.459, 1253
6, 2, 562.62, 1258
6, 2, 550.695, 1231
6, 2, 562.918, 1254
6, 2, 563.584, 1255
6, 2, 566.121, 1265
6, 2, 565.926, 1261
6, 2, 558.878, 1242
6, 2, 569.653, 1277
6, 2, 560.531, 1250
6, 2, 562.802, 1253
6, 2, 583.394, 1320
6, 2, 559.19, 1248
6, 2, 566.784, 1263
6, 2, 557.679, 1244
6, 2, 568.464, 1277
6, 2, 576.469, 1290
6, 2, 568.075, 1270
6, 2, 561.854, 1259
6, 2, 566.804, 1260
6, 2, 570.939, 1282
6, 2, 568.197, 1271
6, 2, 572.324, 1281
6, 2, 549.262, 1228
6, 2, 563.848, 1257
6, 2, 564.685, 1259
6, 2, 561.105, 1246
6, 2, 601.814, 1371
6, 2, 578.878, 1303
6, 2, 573.359, 1307
6, 2, 563.002, 1257
6, 2, 560.791, 1251
6, 2, 563.497, 1261
6, 2, 569.383, 1268
6, 2, 557.43, 1238
6, 2, 561.229, 1250
6, 2, 567.135, 1264
6, 2, 556.942, 1243
6, 2, 553.204, 1239
6, 2, 557.786, 1240
6, 2, 569.035, 1273
6, 2, 551.584, 1238
6, 2, 573.644, 1292
6, 2, 577.297, 1284
6, 2, 578.041, 1303
6, 2, 559.369, 1244
6, 2, 560.042, 1244
6, 2, 573.419, 1275
6, 2, 570.133, 1283
6, 2, 557.703, 1247
6, 2, 571.238, 1281
6, 2, 568.049, 1263
6, 2, 555.023, 1241
6, 2, 677.381, 1600
6, 2, 562.101, 1249
6, 2, 561.56, 1250
6, 2, 556.938, 1243
6, 2, 561.197, 1254
6, 2, 555.183, 1239
6, 2, 570.545, 1270
6, 2, 572.44, 1285
6, 2, 567.26, 1286
6, 2, 569.533, 1278
6, 2, 632.382, 1463
